"year","source","item","value","Reference"
1969,"Current study","Input_MtPperYr",13.0073994313,"FAO (2022) Cropland Nutrient Budget (current study)"
1969,"Current study","Output_MtPperYr",7.2031404892,"FAO (2022) Cropland Nutrient Budget (current study)"
1969,"Current study","Surplus_MtPperYr",5.8042589422,"FAO (2022) Cropland Nutrient Budget (current study)"
1969,"Current study","PUE_pc",55.3773,"FAO (2022) Cropland Nutrient Budget (current study)"
1978,"Current study","Input_MtPperYr",18.3412055694,"FAO (2022) Cropland Nutrient Budget (current study)"
1978,"Current study","Output_MtPperYr",9.4560826514,"FAO (2022) Cropland Nutrient Budget (current study)"
1978,"Current study","Surplus_MtPperYr",8.885122918,"FAO (2022) Cropland Nutrient Budget (current study)"
1978,"Current study","PUE_pc",51.5565,"FAO (2022) Cropland Nutrient Budget (current study)"
1987,"Current study","Input_MtPperYr",21.7249671858,"FAO (2022) Cropland Nutrient Budget (current study)"
1987,"Current study","Output_MtPperYr",10.9595230928,"FAO (2022) Cropland Nutrient Budget (current study)"
1987,"Current study","Surplus_MtPperYr",10.7654440931,"FAO (2022) Cropland Nutrient Budget (current study)"
1987,"Current study","PUE_pc",50.4467,"FAO (2022) Cropland Nutrient Budget (current study)"
1961,"Current study","Input_MtPperYr",8.7494119419,"FAO (2022) Cropland Nutrient Budget (current study)"
1961,"Current study","Output_MtPperYr",5.5785109322,"FAO (2022) Cropland Nutrient Budget (current study)"
1961,"Current study","Surplus_MtPperYr",3.1709010097,"FAO (2022) Cropland Nutrient Budget (current study)"
1961,"Current study","PUE_pc",63.7587,"FAO (2022) Cropland Nutrient Budget (current study)"
1970,"Current study","Input_MtPperYr",13.5988620525,"FAO (2022) Cropland Nutrient Budget (current study)"
1970,"Current study","Output_MtPperYr",7.4059563084,"FAO (2022) Cropland Nutrient Budget (current study)"
1970,"Current study","Surplus_MtPperYr",6.192905744,"FAO (2022) Cropland Nutrient Budget (current study)"
1970,"Current study","PUE_pc",54.4601,"FAO (2022) Cropland Nutrient Budget (current study)"
1979,"Current study","Input_MtPperYr",19.0852510657,"FAO (2022) Cropland Nutrient Budget (current study)"
