"Area","Area.Code","Area.Code.M49","Item.Code","Item","Element.Code","Element","Unit","Year","value","Item_order","country_iso3","N_rank","Nutrient","Value_kg_ha"
"Africa","5100","'002","5081","Soil nutrient budget","7276","Cropland nitrogen per unit area","kg/ha","2020",12.0978,11,NA,NA,"N",12.0978
"Africa","5100","'002","5081","Soil nutrient budget","7281","Cropland phosphorus per unit area","kg/ha","2020",-3.9938,11,NA,NA,"P",-3.9938
"Africa","5100","'002","5081","Soil nutrient budget","7283","Cropland potassium per unit area","kg/ha","2020",-8.7021,11,NA,NA,"K",-8.7021
"Australia and New Zealand","5501","'053","5081","Soil nutrient budget","7276","Cropland nitrogen per unit area","kg/ha","2020",23.825,11,NA,NA,"N",23.825
"Australia and New Zealand","5501","'053","5081","Soil nutrient budget","7281","Cropland phosphorus per unit area","kg/ha","2020",5.0448,11,NA,NA,"P",5.0448
"Australia and New Zealand","5501","'053","5081","Soil nutrient budget","7283","Cropland potassium per unit area","kg/ha","2020",1.3797,11,NA,NA,"K",1.3797
"Central America","5204","'013","5081","Soil nutrient budget","7276","Cropland nitrogen per unit area","kg/ha","2020",52.8943,11,NA,NA,"N",52.8943
"Central America","5204","'013","5081","Soil nutrient budget","7281","Cropland phosphorus per unit area","kg/ha","2020",5.9727,11,NA,NA,"P",5.9727
"Central America","5204","'013","5081","Soil nutrient budget","7283","Cropland potassium per unit area","kg/ha","2020",3.949,11,NA,NA,"K",3.949
"Central Asia","5301","'143","5081","Soil nutrient budget","7276","Cropland nitrogen per unit area","kg/ha","2020",26.9956,11,NA,NA,"N",26.9956
"Central Asia","5301","'143","5081","Soil nutrient budget","7281","Cropland phosphorus per unit area","kg/ha","2020",1.9631,11,NA,NA,"P",1.9631
"Central Asia","5301","'143","5081","Soil nutrient budget","7283","Cropland potassium per unit area","kg/ha","2020",12.4763,11,NA,NA,"K",12.4763
"Eastern Asia","5302","'030","5081","Soil nutrient budget","7276","Cropland nitrogen per unit area","kg/ha","2020",138.7853,11,NA,NA,"N",138.7853
"Eastern Asia","5302","'030","5081","Soil nutrient budget","7281","Cropland phosphorus per unit area","kg/ha","2020",17.0523,11,NA,NA,"P",17.0523
